"AU_s_Dol10_part2" "AU_s_Dol10" "AU_s_Dol11_part2" "AU_s_Dol11" "AU_s_Dol12_part2" "AU_s_Dol12" "AU_s_Dol13_part2" "AU_s_Dol13" "AU_s_Dol14_part2" "AU_s_Dol14" "AU_s_Dol15_part2" "AU_s_Dol15" "AU_s_Dol16_part2" "AU_s_Dol16" "AU_s_Dol17_part2" "AU_s_Dol17" "AU_s_Dol18_part2" "AU_s_Dol18" "AU_s_Dol19_part2" "AU_s_Dol19" "AU_s_Dol2_part2" "AU_s_Dol2" "AU_s_Dol20_part2" "AU_s_Dol20" "AU_s_Dol21_part2" "AU_s_Dol21" "AU_s_Dol22_part2" "AU_s_Dol22" "AU_s_Dol23_part2" "AU_s_Dol23" "AU_s_Dol24_part2" "AU_s_Dol24" "AU_s_Dol3_part2" "AU_s_Dol3" "AU_s_Dol4_part2" "AU_s_Dol4" "AU_s_Dol5_part2" "AU_s_Dol5" "AU_s_Dol6_part2" "AU_s_Dol6" "AU_s_Dol7_part2" "AU_s_Dol7" "AU_s_Dol8_part2" "AU_s_Dol8" "AU_s_Dol9_part2" "AU_s_Dol9" "CAE_s_15" "CAE_s_150" "CAE_s_154" "CAE_s_157" "CAE_s_158" "CAE_s_16" "CAE_s_160" "CAE_s_166" "CAE_s_180" "CAE_s_188" "CAE_s_192" "CAE_s_199" "CAE_s_200" "CAE_s_202" "CAE_s_203" "CAE_s_204" "CAE_s_205" "CAE_s_207" "CAE_s_210" "CAE_s_211" "CAE_s_229" "CAE_s_23" "CAE_s_236" "CAE_s_25" "CAE_s_26" "CAE_s_27" "CAE_s_30" "CAE_s_32" "CAE_s_33" "CAE_s_34" "CAE_s_36" "CAE_s_37" "CAE_s_39" "CAE_s_40" "CAE_s_41" "CAE_s_42" "CAE_s_45" "CAE_s_46" "CAE_s_47" "CAE_s_48" "CAE_s_5" "CAE_s_50" "CAE_s_51" "CAE_s_52" "CAE_s_53" "CAE_s_6" "CAE_s_60" "CAE_s_61" "CAE_s_64" "CAE_s_65" "CAE_s_66" "CAE_s_67" "CAE_s_73" "CAE_s_74" "CAE_s_79"
"u m  " 1.09471680152308 1.06420097697139 1.69813428667188 1.85995623632385 1.30828581013083 1.00785534311546 1.05263157894737 0.719683339330695 0.603432019611541 1.29041209934786 1.01530771633864 1.07221289239116 1.34234961647154 1.42300194931774 1.00051750905641 0.812274368231047 1.25841381328651 1.26479649748662 1.01457096600108 1.50702943258825 0.983663138518178 0.919127086007702 1.2258543833581 0.909703504043127 1.14081996434938 1.2096574289822 1.1793736618645 1.37795275590551 1.3017604760724 1.08773181169757 1.46425495262705 1.29161882893226 1.58918918918919 1.47906470908102 1.21267440344243 1.16537768831444 0.863416449572013 1.24015885180798 1.16086235489221 1.14851931088841 1.57011369788847 1.57041540020263 1.05833763551884 0.65391135868249 1.21592469111591 0.739616916366395 0.921088809458345 1.30780009341429 1.12288670199344 1.07677247937351 1.22679580306699 0.883319638455218 0.977835723598436 1.45281135632694 1.14811159021248 1.35916263083893 1.67632774557418 0.994836922301977 1.10236220472441 1.02405721716515 1.09170305676856 0.841543513957307 0.873851669280753 1.09182530795073 1.61045274992404 1.00433241433635 1.01706602309947 1.10658124635993 0.946073793755913 0.871313672922252 0.974453515933632 0.68660360085444 0.96096808636849 0.940579277396238 0.992779783393502 1.12107623318386 1.27412057981719 1.11120988532314 1.02251499360928 1.03832357938456 1.14186421745066 1.12027701395254 0.89917949870743 1.35004821600771 1.2898639041235 0.944706863017505 1.02700207708285 0.813953488372093 0.792153904187099 1.33724125297674 0.760555992656701 0.811868034541295 0.872766943951998 0.956556396970905 0.904977375565611 0.968188105117566 0.848449385605617 1.06870229007634 0.886756796045937 0.935713047998614 1.31578947368421
"  q u" 0.923369823893384 0.959525471039777 0.971958440397721 1.16703136396791 0.922509225092251 0.874462724173707 0.757894736842105 1.22346167686218 1.39543654535169 0.985153323158041 0.921587004061231 0.878439478103604 1.49374243035931 1.07212475633528 1.00051750905641 1.17328519855596 0.863330406789582 0.972920382682017 1.3815434430653 1.38565793466168 1.02968246663599 1.09370988446727 1.59732540861813 1.38140161725067 1.02368220015279 1.07580189380794 1.08865261095185 0.940507436570429 1.07240267790727 1.31359961959106 0.850559862187769 0.918484500574053 1.01621621621622 0.978792822185971 0.873647150867127 1.01705689161988 1.21324897655378 0.933602731136348 1.08282118817676 1.57639905416057 0.757985923118571 0.810536980749747 1.08415074858028 1.11407120368128 1.19631300254952 1.19476578797648 1.25103106956283 0.856297680211739 0.971486247792077 1.20262900293665 1.33979015334948 1.33525061626952 0.880052151238592 1.03138516136187 1.01823471349161 0.609279800031245 0.892997023343255 0.906686815262561 0.932768019382193 0.845253576072822 0.955240174672489 0.472085385878489 0.985883934573157 0.615901455767077 0.850805226374962 1.02402520677432 0.982589208757111 1.00174723354688 0.875118259224219 1.12265415549598 0.829602317619173 0.823924321025328 1.09146992525804 0.940579277396238 0.799381124290872 0.926756352765321 0.849413719878128 0.924526624588852 1.12083374299479 1.00056635831603 0.819163460345042 1.1406456869335 1.05653591098123 0.999386341719997 1.02579727808247 0.972492358988608 0.980844680360028 0.852713178294574 0.924179554884949 0.93423703975087 0.944138473642801 1.03328658941619 0.886403927451248 0.956556396970905 1.26988760764852 0.719225449515906 0.819192510239906 0.832755031228314 1.00305276929786 1.05700918385029 0.93984962406015
"u s  " 0.932889100428367 1.09036985345429 0.826723271142889 0.899586676391928 1.03991949010399 0.696605898918038 0.842105263157895 0.959577785774259 1.03714878370734 0.860274732898571 0.921587004061231 0.826766567626922 1.11021396851029 1.13060428849903 1.15577022597895 0.69193742478941 0.980392156862745 1.28101183719799 0.863464651915812 1.27440072822899 0.972158306488725 1.0783055198973 1.1887072808321 1.31401617250674 1.14081996434938 1.2741063903624 1.10679682113438 0.993000874890639 0.917431192660551 1.16500237755587 0.839793281653747 1.04286261002679 1.15675675675676 1.17455138662316 1.00404224801147 1.33488717025109 1.11648678823967 1.19835574444367 0.799921958833285 1.06969935818039 1.24526258798051 1.46909827760892 0.903458957150232 0.871881811576653 0.804079231221808 1.04304949743979 1.19604069287875 0.949711972598474 0.933636134241736 0.741155083205146 0.807102502017756 1.19145439605587 1.38526727509778 1.21991793279361 1.34032936775936 1.23418215903765 0.595331348895504 0.894093942828359 0.642035130224107 0.812743823146944 1.09170305676856 0.718390804597701 0.672193591754425 0.895856662933931 0.926769978729869 1.220953131154 1.48250301672125 0.81537565521258 0.910596026490066 0.888069705093834 0.803265736107453 1.11382361916387 1.25756317475383 0.940579277396238 0.9412068076328 1.18086696562033 1.08946542332195 1.17343763890124 1.30763936682725 1.30262412686426 0.719870919697158 0.743456563804868 1.39372822299652 0.815288857718945 0.650010156408694 0.759470223210151 0.634664204938841 0.484496124031008 0.811014711429649 0.82432679978018 0.786782061369001 0.893054837995424 1.0636847129415 0.91669988043045 1.15311633338199 0.940525587828492 1.05324751316559 0.985426786953504 0.901293792702428 0.727776815110033 1.10902255639098
"e t  " 0.590195145168967 0.610607117934403 0.893754887722042 0.75370775589594 0.687688695068769 0.785534311545872 0.926315789473684 0.719683339330695 0.622289270224401 0.763146940474539 0.937207122774133 0.632993153339362 0.777149777957206 1.00389863547758 0.810764188373297 0.872442839951865 0.746268656716418 0.729690287011513 0.647598488936859 0.728228987559421 0.661527841693511 0.739409499358151 1.00297176820208 0.57277628032345 0.728291316526611 0.872539784839621 0.856406720615452 0.914260717410324 0.551698487478304 0.695435092724679 1.06589147286822 0.880214313050134 0.886486486486487 1.0331702011963 0.886686660581562 0.699226612988664 0.989951618905843 0.912701177454191 0.829187396351575 0.900799459520324 1.24526258798051 0.861195542046606 0.826019617965927 0.823443933155728 0.470680525593254 0.701687843732221 0.797360461919164 0.887435777673984 0.921019429724956 0.880995664941966 1.03309120258273 1.23253903040263 0.53780964797914 0.898303205057114 0.800041560600551 0.859240743633807 0.53266489111703 1.00742979473618 0.751059963658389 0.975292587776333 0.846069868995633 0.595238095238095 0.896258122339234 0.783874580067189 0.926769978729869 0.531705395825128 0.758489915531805 0.81537565521258 0.685903500473037 1.20643431635389 0.869107189886753 0.91547146780592 0.830466247478942 0.880859958196477 0.760701392470346 0.911808669656203 0.997137845074324 0.951195661836608 1.01268311867073 0.906173305644705 0.930867568573911 0.835115592219167 0.842980780038215 0.894187779433681 0.995328052000813 1.09289617486339 0.830833141010847 0.833333333333333 0.622406639004149 0.677779813152592 0.813008130081301 0.966861022953724 0.886403927451248 0.677560781187724 0.67143482703255 1.00968188105118 0.731421884142774 0.902151283830673 0.799534816106992 0.849072950961705 0.845864661654135
"i s  " 0.847215611613517 0.72400558269365 1.18422522623171 0.972526136639922 0.670915800067092 0.800355713650511 0.894736842105263 0.731678061652873 0.471431265321516 0.666019148050506 0.656044985941893 0.865521250484434 1.20104965684296 0.896686159844055 0.603760565809902 1.14320096269555 0.658472344161545 0.664828928166045 0.679978413383702 0.910286234449277 0.696042337781868 0.852374839537869 1.15156017830609 1.17924528301887 0.575502928444105 0.708938575182192 0.740283775447255 0.826771653543307 0.731465410364493 0.778649548264384 0.80749354005168 0.975889781859931 0.681081081081081 0.793909733550843 0.49550136914852 0.794575696578027 0.729438034983253 0.473768550128893 0.877963125548727 0.821979506812296 0.974553329723877 0.455927051671733 0.851832731027362 1.13829014289174 1.00019611688566 1.0240849611227 1.05856475116855 0.591623851782656 0.555134998738329 0.713186966857782 0.984665052461663 0.595727198027937 1.07561929595828 0.59886880337141 0.607823783053665 0.703015153882206 0.861663794454019 0.969651177433573 0.811629315566323 0.666449934980494 0.846069868995633 1.04679802955665 1.20994846515797 0.83986562150056 0.941962929200851 0.708940527766837 0.603344250991208 0.733838089691322 1.31267738883633 0.904825737265416 0.842770608375033 0.854440036618859 1.0558785146518 0.746491489997014 1.13460546673543 1.03139013452915 1.0525343920229 0.942305982754023 1.07167436830204 0.434208042288088 0.794340325183071 0.661981871881047 0.786782061369001 0.701323748575436 0.78204346942921 0.750208391219783 0.542349411493192 1.12403100775194 0.584685024519049 0.787690053123283 0.839234198793601 0.760203705070485 0.818219009954998 1.0495549355653 0.904977375565611 0.802213001383126 0.848449385605617 0.73560027758501 0.799534816106992 1.02235314503552 0.93984962406015
"  e t" 0.504521656354117 0.46231681786462 0.681488101888057 0.559202528567955 0.587051325058705 0.518749073662368 0.747368421052632 0.659709727719803 0.471431265321516 0.666019148050506 0.437363323961262 0.439219739051802 0.595478401291885 0.760233918128655 0.586510263929619 0.842358604091456 0.614574187884109 0.421598832495541 0.420939017808958 0.616971781126732 0.563736769443166 0.585365853658537 0.817236255572065 0.539083557951482 0.600967659791189 0.684150513112885 0.700366513045687 0.695538057742782 0.502107612199355 0.618164526866381 1.02282515073213 0.765403750478377 0.681081081081081 0.663404023926047 0.638935976007302 0.625066214641381 0.744324525493115 0.70368564063262 0.692615354599551 0.653079608152235 1.19112073632918 0.810536980749747 0.774393391843056 0.629692419472027 0.392233771327711 0.568936089512611 0.728622491064064 0.809590534018371 0.807469089073934 0.727171025031464 0.887812752219532 0.986031224322104 0.45632333767927 0.820672063879339 0.71172528443036 0.859240743633807 0.563998120006267 0.84372245309155 0.775287704421563 0.845253576072822 0.600436681222707 0.513136288998358 0.829038763163791 0.797872340425532 0.759647523549073 0.413548641197322 0.72401310118945 0.675596971461852 0.709555345316935 0.971849865951743 0.790097445351593 0.793408605431797 0.794874836872701 0.776351149596895 0.760701392470346 0.911808669656203 0.77555165728003 0.968975020001778 0.855373119653918 0.641872758164999 0.868809730668983 0.916590284142988 0.786782061369001 0.841588498290523 0.954702417225269 0.953968695007873 0.819293791830141 0.852713178294574 0.660128253489249 0.641143066495695 0.813008130081301 0.937338548970404 0.900040910950498 0.690846286701209 0.67143482703255 0.829875518672199 0.61439438267993 0.791117279666898 0.75592382613752 0.831744931554323 0.808270676691729
"  i n" 0.580675868633984 0.654221912072575 0.681488101888057 0.729394602479942 0.43609527004361 0.681784496813399 0.694736842105263 0.599736116108912 0.716575523288705 0.49951436103788 0.577944392377382 0.620074925720191 0.666128381106177 0.633528265107212 0.672761773331033 0.571600481347774 0.468247000292654 0.794551645856981 0.777118186724231 0.991200566400324 0.580994017487345 0.636713735558408 0.482912332838039 0.943396226415094 0.544945250827604 0.753557086906946 0.729397249337736 0.726159230096238 0.719067691544756 0.517118402282454 0.818260120585702 0.736701109835438 0.810810810810811 0.587275693311582 0.782370582866084 0.550905816294099 0.796427242277633 0.620079425903992 0.575553604526388 0.653079608152235 0.433134813210612 0.405268490374873 0.722767165720186 0.605473480261565 0.745244165522651 0.739616916366395 0.632389331866923 1.13654055737194 0.693918748422912 0.615298559642008 0.387409200968523 0.698438783894823 0.945241199478488 0.798491737828546 0.644189308535508 0.781127948758007 0.689331035563215 0.680015111446921 0.62992125984252 0.73146944083225 0.736899563318777 0.656814449917898 0.784225857046829 0.587905935050392 0.668489820723184 0.551398188263096 0.568867436648854 0.920209668025626 0.638599810785241 0.603217158176944 0.882275480642613 0.808666463228563 0.498279748487365 0.55240370259779 0.580195977307891 0.493273542600897 0.914043024651463 0.773402080184905 0.825877494838266 0.774023031904852 0.707459352116172 0.407373459619106 0.775542317635158 0.815288857718945 0.507820434694292 0.759470223210151 0.66928225248096 0.833333333333333 0.47152018106375 0.641143066495695 0.4982953055337 0.531404531699756 0.790945042956498 0.704131792214694 0.481681506349438 0.774550484094053 0.760678759508485 0.666204024982651 0.610553859572612 0.883728989776469 0.958646616541353
"  n o" 0.799619228938601 0.662944870900209 0.882582951625517 0.741551179187941 0.838644750083865 0.844819919964429 0.578947368421053 0.803646395585942 0.735432773901565 0.555015956708755 0.656044985941893 0.78801188476941 0.827614049253129 0.672514619883041 0.776263584612731 0.421179302045728 0.731635937957272 0.875628344413815 1.16567728008635 0.799029028016587 0.609756097560976 0.708600770218229 1.11441307578009 0.57277628032345 0.743570155334861 0.560210202766348 0.544326305475923 0.573053368328959 0.61368708157699 0.576557299096529 0.613695090439277 0.574052812858783 0.572972972972973 0.598151169113649 0.717173034293911 0.964085178514673 0.71455154447339 0.613112241343273 0.507267583650376 1.09221934466839 0.703844071467244 0.658561296859169 0.774393391843056 0.532816662630177 0.725632476956266 0.587900625829698 0.852350838603244 0.389226218278063 0.59298511228867 0.797091315899874 0.59725585149314 0.636811832374692 0.391134289439374 0.632139292447599 0.540287807158813 0.437431651304484 0.344665517781607 0.705200856315325 0.399757722592368 0.617685305591678 0.54585152838428 0.389983579638752 0.582567779520502 0.517917133258679 0.638103919781221 0.531705395825128 0.456817790036201 0.454280722189866 0.260170293282876 0.435656836461126 0.724255991572294 0.335672871528837 0.723692015660221 0.52254404299791 0.657555440948943 0.77727952167414 0.36931031299049 0.826740154680416 0.747222495329859 0.339814989616764 0.38475859501055 0.529585497504838 0.854220523772058 0.455860436574033 0.578915295551493 0.287116791701399 0.461573967228248 0.426356589147287 0.697849867974349 0.531232826525005 0.4982953055337 0.848771127020444 0.668212191463248 0.677560781187724 0.540067143482703 0.470262793914246 0.526623756582797 0.444136016655101 0.552405872946649 0.554496621036216 0.413533834586466
"a m  " 0.799619228938601 0.505931612002791 0.536252932633225 0.595672258691952 0.62059711506206 0.503927671557729 0.642105263157895 0.659709727719803 0.773147275127286 0.610517552379631 0.56232427366448 0.477974421909314 0.585385547032701 0.711500974658869 0.483008452647921 0.52647412755716 0.395083406496927 0.308091454515972 0.87425796006476 0.59674319813897 0.707547169811321 0.667522464698331 0.780089153046062 0.168463611859838 0.494015788133435 0.555252590352486 0.602387778060021 0.621172353455818 0.564096206298041 0.570613409415121 0.570628768303187 0.420972062763108 0.335135135135135 0.532898314301251 0.469422349719651 0.529717131052018 0.528470413100112 0.640980979586149 0.458491854453224 0.551739668956199 0.487276664861938 0.405268490374873 0.542075374290139 0.799224993945265 0.804079231221808 0.739616916366395 0.398680230959582 1.1054024599097 0.618218521322231 0.461473919731506 0.645682001614205 0.554642563681183 0.244458930899609 0.809581900853943 0.779261260325212 0.468676769254804 0.516998276672411 0.453343407631281 0.617807389460933 0.276332899869961 0.27292576419214 0.410509031198686 0.515348420345059 0.657894736842105 0.379823761774537 0.472627018511225 0.870539562144458 0.46592894583576 0.614947965941343 0.955093833780161 0.948116934421912 0.335672871528837 0.735555819195634 1.10480740519558 0.605982465188241 0.523168908819133 0.692456836857169 0.515601386789937 0.530921246681742 0.660751368699264 0.732282487278143 0.69253488135248 0.550747442958301 0.631191373717892 0.457038391224863 0.407520607576179 0.623124855758135 0.581395348837209 0.4903809883063 0.604506319838798 0.4982953055337 0.856151745516274 0.995499795445247 0.757273814268633 0.861188147715662 0.802213001383126 0.819192510239906 0.624566273421235 0.407035906381742 0.433200485184543 0.469924812030075
"i t  " 0.685387910518801 0.453593859036985 0.614456485308904 0.583515681983953 0.452868165045287 0.681784496813399 0.652631578947368 0.599736116108912 0.471431265321516 0.582766754544193 0.484223680099969 0.658829608577703 0.504642712959225 0.711500974658869 0.845264792133862 0.631768953068592 0.804799531753 0.681044267877412 0.744738262277388 0.687771821583898 0.546479521398988 0.626444159178434 1.2630014858841 0.909703504043127 0.921823274764451 0.614743939318824 0.482635990855318 0.590551181102362 0.564096206298041 0.534950071326676 0.452196382428941 0.612323000382702 0.681081081081081 0.554649265905383 0.665014995436172 0.519122788430978 0.692221808708597 0.606145056782554 0.399960979416642 0.788199527080284 0.649702219815918 0.101317122593718 0.335570469798658 0.532816662630177 0.823690919788194 0.83443959795183 0.879846026945285 0.435933364471431 0.782235680040373 0.6992029086841 0.645682001614205 0.677896466721446 0.3748370273794 0.554508151269824 0.597433632915996 0.359318856428683 0.203665987780041 0.478529152499685 0.363416111447607 0.698959687906372 0.982532751091703 0.389983579638752 0.336096795877213 0.307950727883539 0.577332117897296 1.00433241433635 0.637821065333563 0.663948747815958 0.484862819299905 0.619973190348525 0.579404793257835 0.427220018309429 0.415233123739471 0.55240370259779 0.593089221248066 0.403587443946188 0.590896500784784 0.604498177615788 0.658735620882902 0.698508589767793 0.546108973563361 0.600875852938181 0.258514105878386 0.455860436574033 0.396099939061548 0.435306103547282 0.473113316408955 0.290697674418605 0.28291210863825 0.274775599926727 0.3147128245476 0.361650306295668 0.600027273966999 0.172711571675302 0.350313822799591 0.774550484094053 0.438853130485664 0.402498265093685 0.203517953190871 0.415872465777162 0.75187969924812
"  d e" 0.180866254164683 0.32274947662247 0.502737124343649 0.340384147823973 0.285139215028514 0.48910626945309 0.621052631578947 0.263883891087921 0.905148029417311 0.402386568613848 0.499843798812871 0.271282780002584 0.514735567218409 0.311890838206628 0.793513886493014 0.586642599277978 0.365817968978636 0.405383492784174 0.73394495412844 0.546171740669566 0.373907040957202 0.410783055198973 0.742942050520059 0.235849056603774 0.463458110516934 0.580040652421794 0.4717494647458 0.47244094488189 0.464914455740144 0.451735615786971 0.624461670973299 0.507079984691925 0.464864864864865 0.456769983686786 0.456382840005216 0.381396334357453 0.379605508001489 0.362293597157389 0.34143010438006 1.08095935142439 0.270709258256632 0.455927051671733 0.800206504904492 0.532816662630177 0.372622082761326 0.549971553195524 0.563651361011823 0.544916705589289 0.466818067120868 0.475457977905188 0.468119451170299 0.513557929334429 0.423728813559322 0.621049129422202 0.420801080575614 0.406186533354163 0.579664734450885 0.314821810855056 0.496668685645064 0.422626788036411 0.218340611353712 0.389983579638752 0.448129061169617 0.475923852183651 0.835612275903981 0.472627018511225 0.39648336493708 0.361094933022714 0.283822138126774 0.368632707774799 0.447721885699236 0.442477876106195 0.593190176770673 0.52254404299791 1.03145951521403 0.657698056801196 0.470870649062875 0.435594275046671 0.442434372234785 0.660751368699264 0.322700757105622 0.437926469090539 0.483308980555243 0.394494608573683 0.528133252082064 0.500138927479856 0.450034618047542 0.445736434108527 0.603545831761599 0.476277706539659 0.629425649095201 0.656875046128866 0.490931405972999 0.425136176431513 0.379506641366224 0.553250345781466 0.175541252194266 0.499653018736988 0.726849832824538 0.450528504591925 0.507518796992481
