"corpus_anonym_1" "corpus_anonym_2" "corpus_anonym_3" "corpus_anonym_4" "corpus_anonym_5" "corpus_anonym_6" "corpus_anonym_7" "corpus_anonym_8" "corpus_anonym_9" "corpus_anonym_10" "corpus_anonym_11" "corpus_anonym_12" "corpus_anonym_13" "corpus_anonym_14" "corpus_anonym_15" "corpus_anonym_16" "corpus_anonym_17" "corpus_anonym_18" "corpus_anonym_19" "corpus_anonym_20" "corpus_anonym_21" "corpus_anonym_22" "corpus_anonym_23" "corpus_anonym_24" "corpus_anonym_25" "corpus_anonym_26" "corpus_anonym_27" "corpus_anonym_28" "corpus_anonym_29" "corpus_anonym_30" "corpus_anonym_31" "corpus_anonym_32" "corpus_anonym_33" "corpus_anonym_34" "corpus_anonym_35" "corpus_anonym_36" "corpus_anonym_37" "corpus_anonym_38" "corpus_anonym_39" "corpus_anonym_40" "corpus_anonym_41" "corpus_anonym_42" "corpus_anonym_43" "corpus_anonym_44" "corpus_anonym_45" "corpus_anonym_46" "corpus_anonym_47" "corpus_anonym_48" "corpus_anonym_49" "corpus_anonym_50" "corpus_anonym_51" "corpus_anonym_52" "corpus_anonym_53" "corpus_anonym_54" "corpus_anonym_55" "corpus_anonym_56" "corpus_anonym_57" "corpus_anonym_58" "corpus_anonym_59" "corpus_anonym_60" "corpus_anonym_61" "corpus_anonym_62" "corpus_anonym_63" "corpus_anonym_64" "corpus_anonym_65" "corpus_anonym_66" "corpus_anonym_67" "corpus_anonym_68" "corpus_anonym_69" "corpus_anonym_70" "corpus_anonym_71" "corpus_anonym_72" "corpus_anonym_73" "corpus_anonym_74" "corpus_anonym_75" "corpus_anonym_76" "corpus_anonym_77" "corpus_anonym_78" "corpus_anonym_79" "corpus_anonym_80" "corpus_anonym_81" "corpus_anonym_82" "corpus_anonym_83" "corpus_anonym_84" "corpus_anonym_85" "corpus_anonym_86" "corpus_anonym_87" "corpus_anonym_88" "corpus_anonym_89" "corpus_anonym_90" "corpus_anonym_91" "corpus_anonym_92" "corpus_anonym_93" "corpus_anonym_94" "corpus_anonym_95" "corpus_anonym_96" "corpus_anonym_97" "corpus_anonym_98" "corpus_anonym_99" "corpus_anonym_100" "corpus_anonym_101" "corpus_anonym_102" "corpus_anonym_103" "corpus_anonym_104" "corpus_anonym_105" "corpus_anonym_106" "corpus_anonym_107" "corpus_anonym_108" "corpus_anonym_109" "corpus_anonym_110" "corpus_anonym_111" "corpus_anonym_112" "corpus_anonym_113" "corpus_anonym_114" "corpus_anonym_115" "corpus_anonym_116" "corpus_anonym_117" "corpus_anonym_118" "corpus_anonym_119" "corpus_anonym_120" "corpus_anonym_121" "corpus_anonym_122"
"u m  " 0.867136978248089 0.867519482429055 0.870848708487085 0.870720188902007 0.856847392524745 0.842821233180541 0.798108187998818 0.798934753661784 0.770484516224626 0.742390497401633 0.742280285035629 0.743052459503641 0.790690735491571 0.83594566353187 0.85418852090514 0.854444611002848 0.855470508779829 0.85278276481149 0.853165693758419 0.85559891924347 0.85559891924347 0.841599038172528 0.827565452904002 0.812763395544853 0.810567397178025 0.781367392937641 0.779026217228464 0.796154423914676 0.785973397823458 0.802058111380145 0.802787034232051 0.789913413337384 0.807311500380807 0.820793433652531 0.836120401337793 0.836120401337793 0.82179272561254 0.792441328863151 0.791596894504491 0.779697293991744 0.795837159473523 0.796812749003984 0.826319816373374 0.811514316337468 0.783289817232376 0.752457002457002 0.796202725463176 0.796934865900383 0.766283524904215 0.765110941086457 0.76499388004896 0.748663101604278 0.76499388004896 0.79449961802903 0.809160305343511 0.792682926829268 0.794621026894866 0.794742472871771 0.824427480916031 0.823924321025328 0.853788687299893 0.868505256742343 0.884685784014643 0.929311395490555 0.929736320682823 0.946564885496183 0.962272796700779 0.963008254356466 0.948447299984702 0.919822167714242 0.920527769254373 0.936013503145619 0.921234454168586 0.92038656235619 0.920951650038373 0.91869545245751 0.948012232415902 0.902002751872802 0.90158924205379 0.901864873127484 0.917290934107935 0.934579439252336 0.934007043331802 0.933292533659731 0.919963201471941 0.920527769254373 0.919681177191907 0.905324535829369 0.906158808170788 0.904630481447409 0.919822167714242 0.921375921375921 0.938750384733764 0.953992921987998 0.952966492468491 0.952380952380952 0.950920245398773 0.949464012251149 0.950628641521006 0.965369292062519 0.965961361545538 0.98159509202454 1.01211470633338 1.02792267566738 1.02681992337165 1.02776499463108 1.02839600920952 1.02950215119852 1.0440657147244 1.04583205167641 1.06399383191982 1.06350184956843 1.03061067528073 1.00107808409056 1.02981862895789 1.02823818293432 1.02855388394228 1.04567122866369 1.04583205167641 1.04518905625576 1.04615384615385 1.04518905625576
"  q u" 0.984714873603763 0.970445522717247 0.959409594095941 0.944510035419126 0.960260008863939 0.961111932574301 0.975465563109666 0.961680722000296 0.948288635353386 0.950259836674091 0.935273159144893 0.95110714816466 0.954796359838878 0.97029407374235 0.989060392627004 0.974366661669915 0.990544799639802 0.987432675044883 1.00284388564586 1.00570399279496 1.00570399279496 1.00691313495642 0.993078543484803 1.02347983142685 1.03572500750525 1.02178812922615 1.0187265917603 1.00645936608082 0.997581620314389 1.01392251815981 1.01484398667071 1.01777305180009 1.02056359482102 1.01839185286518 1.01854667072058 0.988142292490119 0.973976563688936 0.960073148430357 0.974273100928604 0.993731845283596 0.979491888582798 0.98069261415875 0.994644223412395 0.99525340682897 1.0136691752419 1.01351351351351 1.01056499770326 1.01149425287356 1.02681992337165 1.04055087987758 1.00979192166463 1.00840336134454 1.00979192166463 1.00840336134454 0.977099236641221 0.945121951219512 0.947432762836186 0.978144581996026 0.977099236641221 0.976502898992981 0.945266046653453 0.944689928386409 0.945698596705308 0.929311395490555 0.929736320682823 0.916030534351145 0.91645028257217 0.94772240904922 0.933149762888175 0.919822167714242 0.935869898741945 0.936013503145619 0.951942269307539 0.935726338395459 0.936300844205679 0.934007043331802 0.932721712538226 0.947867298578199 0.947432762836186 0.94772240904922 0.947867298578199 0.903937490424391 0.903383861583218 0.917992656058752 0.889297761422876 0.859159251304081 0.873697118332311 0.905324535829369 0.906158808170788 0.919963201471941 0.919822167714242 0.952088452088452 0.938750384733764 0.938605939375288 0.952966492468491 0.952380952380952 0.950920245398773 0.934150076569678 0.935295921496473 0.919399325773828 0.889297761422876 0.889570552147239 0.904769207176813 0.9051856397668 0.888888888888889 0.87436723423838 0.828856485034536 0.860479409956976 0.85981882389068 0.861273454321747 0.878951426368543 0.878545006165228 0.892170435317643 0.877868473740952 0.860743928681217 0.859422958870473 0.844335277863064 0.861141011840689 0.83051368809597 0.814632646787581 0.815384615384615 0.814632646787581
"u s  " 1.19047619047619 1.20570504337597 1.22509225092251 1.2396694214876 1.19663170335352 1.21247966878604 1.16760271947975 1.13922177836958 1.12609275448215 1.09873793615442 1.12826603325416 1.09971764006539 1.07414590481874 1.07478728168383 1.10894650082422 1.12426922500375 1.12561909049977 1.12208258527828 1.10761861996707 1.0807565295707 1.0807565295707 1.0970844604749 1.05326512187782 1.05358217940999 1.03572500750525 1.03681442524418 1.03370786516854 0.976415802914226 0.95223700120919 0.938256658595642 0.939109360799758 0.957010481543369 0.974866717440975 0.972792217662259 0.988142292490119 0.988142292490119 1.01963171511186 1.02103017372752 1.01994215253463 1.00902002751873 0.979491888582798 0.98069261415875 0.948737566947207 0.949318634206094 0.936876055905391 0.952088452088452 0.949318634206094 0.934865900383142 0.96551724137931 0.979342004590666 0.979192166462668 0.962566844919786 0.94859241126071 0.901451489686784 0.870229007633588 0.86890243902439 0.90158924205379 0.886443527433899 0.885496183206107 0.884955752212389 0.884281140417747 0.838031388084717 0.838926174496644 0.868372943327239 0.868770004572474 0.870229007633588 0.901176111195968 0.917150718434729 0.948447299984702 0.935152537176146 0.966554157717091 0.997391437778119 0.967296176877015 0.951066114434729 0.951650038372985 0.949318634206094 0.963302752293578 0.963155480813331 0.962713936430318 0.917150718434729 0.917290934107935 0.919258464838364 0.91869545245751 0.933292533659731 0.919963201471941 0.920527769254373 0.935009196811772 0.951357986803744 0.952234679772692 0.950628641521006 0.95048290663805 0.952088452088452 0.984918436441982 1.00015386982613 1.02981862895789 1.04454685099846 1.04294478527607 1.0260336906585 1.0426249616682 1.0573092246399 1.02729224164367 1.02760736196319 1.01211470633338 0.997238416692237 0.980842911877395 0.981745666513269 0.982348426707598 0.968039336201598 0.967296176877015 0.999692402337742 0.986892829606785 1.00184956843403 0.984463928626365 0.985676882796858 0.968336919766369 0.951503990178023 0.936444580902671 0.938028602183608 0.922792986773301 0.922225637872733 0.923076923076923 0.906855210574854
"e t  " 0.573192239858907 0.573445081605646 0.575645756457565 0.590318772136954 0.605702467129561 0.621026171817241 0.620750812887969 0.621393697292499 0.637131426878056 0.653303637713437 0.638361045130641 0.624164065983058 0.656422497389229 0.671742051052396 0.689345122133973 0.689551791335632 0.705387963379859 0.718132854578097 0.703487501870977 0.690483338336836 0.690483338336836 0.721370604147881 0.737285585314475 0.752558699578567 0.765535875112579 0.781367392937641 0.764044943820225 0.766110860748085 0.785973397823458 0.817191283292978 0.83308088458043 0.865866626158286 0.868240670220868 0.866393068855449 0.866524779568258 0.88172696868349 0.897884644650738 0.899116123133191 0.898158014918557 0.917290934107935 0.918273645546373 0.934722647870058 0.933435348125478 0.949318634206094 0.952234679772692 0.952088452088452 0.949318634206094 0.950191570881226 0.934865900383142 0.933435348125478 0.94859241126071 0.962566844919786 0.963892288861689 0.977845683728037 0.977099236641221 0.975609756097561 0.962713936430318 0.978144581996026 0.977099236641221 0.976502898992981 0.975758499771307 1.00563766570166 1.00671140939597 0.99024984765387 0.990702636793172 1.00763358778626 1.00809531082939 1.02415163558545 1.02493498546734 1.02713475394757 1.01258054617981 1.02808040509437 1.01335789958544 1.01242521859181 1.01304681504221 0.99525340682897 0.978593272171254 1.00902002751873 1.02383863080685 1.03943748089269 1.03959639198899 1.05714723456412 1.07181136120043 1.08629130966952 1.0886231217418 1.0739490641301 1.05763335377069 1.04342488875249 1.0290277991092 1.01195952161914 1.01180438448567 1.01351351351351 1.01569713758079 1.01554085243884 1.02981862895789 1.02918586789555 1.01226993865031 0.995405819295559 0.98129408157007 0.99601593625498 0.98129408157007 0.996932515337423 0.981444563717221 0.966554157717091 0.950191570881226 0.951066114434729 0.936300844205679 0.952673632452366 0.951942269307539 0.953552752999077 0.956052428681573 0.955610357583231 0.922934933087217 0.924072077622055 0.922225637872733 0.920810313075506 0.905741479889469 0.891896047977856 0.907413103660412 0.906855210574854 0.923076923076923 0.922225637872733
"i s  " 1.11699000587889 1.10277900308778 1.1070110701107 1.12160566706021 1.10799231791993 1.1089753068165 1.1084835944428 1.10963160230803 1.12609275448215 1.14328136599852 1.12826603325416 1.12943973844553 1.13382067730867 1.13449768622182 1.13891802787352 1.15424973767051 1.15563559957977 1.13704368641532 1.12258643915581 1.12578805163615 1.12578805163615 1.11211301472798 1.09840505567259 1.08368452739314 1.110777544281 1.11194590533434 1.12359550561798 1.12663361874718 1.13361547762999 1.13498789346247 1.13601938806422 1.13929819231353 1.0967250571211 1.12479100167199 1.15536637275768 1.15536637275768 1.14137878557297 1.14294422432185 1.14172629015071 1.17719003210518 1.17845117845118 1.19521912350598 1.16296863045142 1.14836931557189 1.15189679004761 1.13636363636364 1.14836931557189 1.13409961685824 1.13409961685824 1.1017597551645 1.1015911872705 1.06951871657754 1.07099143206854 1.08479755538579 1.09923664122137 1.11280487804878 1.11552567237164 1.11569616383922 1.11450381679389 1.11382361916387 1.09772831224272 1.08182233734573 1.06772422208664 1.05118829981718 1.06691053193111 1.0381679389313 1.00809531082939 1.0088657902782 1.00963744837081 1.04246512340947 1.01258054617981 0.997391437778119 0.998003992015968 0.966405890473999 0.982348426707598 0.964630225080386 0.963302752293578 0.963155480813331 0.962713936430318 0.94772240904922 0.932579116343067 0.903937490424391 0.888072270708927 0.917992656058752 0.889297761422876 0.859159251304081 0.827713059472716 0.828602117538745 0.82936568883428 0.843299601349279 0.843170320404722 0.829238329238329 0.815635580178516 0.830897061086321 0.83000307408546 0.768049155145929 0.766871165644172 0.765696784073507 0.78196872125115 0.766166104811523 0.766636001226618 0.751533742331288 0.736083422787916 0.721080085915925 0.735632183908046 0.736309249884952 0.736761320030698 0.737553779963122 0.721633655765392 0.707474623192864 0.709329221279877 0.724414303329223 0.753730195354561 0.754658863391344 0.753150937596065 0.751995089011664 0.752225974823457 0.768875903429187 0.784374038757305 0.799262219489702 0.784615384615385 0.753150937596065
"  e t" 0.51440329218107 0.499926481399794 0.516605166051661 0.516528925619835 0.517063081695967 0.532308147271921 0.532072125332545 0.54741825713863 0.548229367313676 0.534521158129176 0.519596199524941 0.505275672462476 0.537072952409369 0.552321241976414 0.56945901393676 0.584619997001949 0.585321927059883 0.598444045481747 0.583744948361024 0.570399279495647 0.570399279495647 0.601142170123234 0.616912428528438 0.632149307645996 0.64545181627139 0.661157024793388 0.644194756554307 0.645936608081718 0.680169286577993 0.696125907990315 0.711905483186913 0.744341485644843 0.746382330540746 0.744794041647667 0.744907266646397 0.76010945576163 0.776137574189621 0.77720207253886 0.776373877302481 0.794985476226877 0.811141720232629 0.812136071100215 0.795715378729916 0.796202725463176 0.798648441099677 0.798525798525799 0.811514316337468 0.812260536398467 0.812260536398467 0.795715378729916 0.810893512851897 0.825057295645531 0.826193390452876 0.825057295645531 0.824427480916031 0.823170731707317 0.809902200488998 0.810025981965459 0.793893129770992 0.793408605431797 0.808050007623113 0.807557519427091 0.808419768151312 0.807434491163924 0.807803688462125 0.824427480916031 0.824805254314953 0.840721491898502 0.84136454030901 0.843170320404722 0.843817121816508 0.84394660119687 0.829111008751727 0.828347906120571 0.828856485034536 0.842137498086051 0.840978593272171 0.871426387402538 0.886308068459658 0.901864873127484 0.902002751872802 0.919258464838364 0.91869545245751 0.933292533659731 0.935295921496473 0.920527769254373 0.904353157572042 0.905324535829369 0.890800184303486 0.873965041398344 0.889161428790434 0.875307125307125 0.87719298245614 0.87705800892445 0.891484783276975 0.890937019969278 0.874233128834356 0.857580398162328 0.843299601349279 0.842782715292675 0.827966881324747 0.828220858895706 0.812758779328324 0.813132862841362 0.796934865900383 0.813008130081301 0.81350729086723 0.814382298709281 0.829111008751727 0.83051368809597 0.832690824980725 0.832305795314427 0.799876942008922 0.785461265978746 0.799262219489702 0.798035604665439 0.798280626343261 0.78425342149777 0.799753921870194 0.799262219489702 0.8 0.814632646787581
"  i n" 0.529100529100529 0.544037641523305 0.546125461254613 0.546044864226682 0.546609543507165 0.532308147271921 0.532072125332545 0.532623169107856 0.533412357386279 0.534521158129176 0.519596199524941 0.564719869222767 0.566910338654334 0.567248843110912 0.554473250412108 0.569629740668565 0.570313672519886 0.553560742070616 0.553809309983535 0.54037826478535 0.555388772140498 0.541027953110911 0.55672585013542 0.55689343768814 0.555388772140498 0.555972952667168 0.554307116104869 0.540784136998648 0.544135429262394 0.559927360774818 0.545289306270827 0.562053774874677 0.578827113480579 0.562395500835993 0.547278808148373 0.562480997263606 0.563080200882666 0.563852483998781 0.563251636474349 0.565662742699893 0.56626874808693 0.566962917560527 0.581484315225708 0.566528862348798 0.568269083090155 0.598894348894349 0.597152044097382 0.597701149425287 0.597701149425287 0.596786534047437 0.611995104039168 0.626432391138274 0.627294981640147 0.626432391138274 0.610687022900763 0.625 0.595965770171149 0.550206327372765 0.549618320610687 0.534025022886787 0.518371703003507 0.518055767179643 0.533862111043319 0.517976843388178 0.533455265965554 0.534351145038168 0.534595998167099 0.550290431060838 0.550711335474989 0.551893300628545 0.567658791040196 0.567745895350621 0.568094580070628 0.582911489492253 0.598618572524942 0.58184045322309 0.581039755351682 0.565662742699893 0.565403422982885 0.596147966982574 0.626815471640422 0.658801899800827 0.658398407594549 0.642594859241126 0.659306961054891 0.659711567965634 0.6591048436542 0.659812797299371 0.660420826293964 0.643974241030359 0.659205886861873 0.66031941031941 0.677131425053863 0.646253269733805 0.630187519213034 0.629800307219662 0.644171779141104 0.658499234303216 0.643974241030359 0.643579528041679 0.689972401103956 0.690184049079755 0.690078208863671 0.705737956428352 0.704980842911877 0.736309249884952 0.736761320030698 0.737553779963122 0.736987563334869 0.73823438941864 0.740169622205089 0.693588162762022 0.692201199815413 0.693054058216541 0.707039655702429 0.705954573357888 0.706171323303654 0.722743349223435 0.722854506305752 0.737780510298186 0.738461538461539 0.737780510298186
"  n o" 0.881834215167548 0.926334362593736 0.974169741697417 0.974025974025974 0.975033239769538 0.975898269998521 0.990245344368903 0.97647581003107 1.02237368499037 1.02449888641425 1.00950118764846 1.01055134492495 0.999552439206326 1.00014927601135 1.03401768320096 1.04931794333683 1.0205613087198 0.987432675044883 0.972908247268373 0.960672470729511 0.945661963374362 0.916741809437932 0.902798675895275 0.842865743527995 0.840588411888322 0.856498873027799 0.853932584269663 0.856241550247859 0.876662636033857 0.87772397094431 0.878521660102999 0.896247911286647 0.883472962680883 0.881592947256422 0.88172696868349 0.88172696868349 0.882666260843099 0.899116123133191 0.898158014918557 0.871426387402538 0.872359963269054 0.873429359485136 0.872226472838562 0.872760679834635 0.875441560436185 0.875307125307125 0.888072270708927 0.888888888888889 0.888888888888889 0.90283091048202 0.887392900856793 0.901451489686784 0.887392900856793 0.886172650878533 0.885496183206107 0.899390243902439 0.916870415647922 0.917010545621275 0.931297709923664 0.961245041196216 0.945266046653453 0.959926862715222 0.976205003050641 0.975015234613041 0.990702636793172 1.00763358778626 1.00809531082939 1.0088657902782 1.00963744837081 1.01180438448567 1.02792267566738 1.01273592143624 1.0440657147244 1.05844454670962 1.04374520337682 1.04118817945184 1.03975535168196 1.02430820975386 1.02383863080685 0.978294099663711 0.963155480813331 0.949900413666309 0.964630225080386 0.963892288861689 0.950628641521006 0.966554157717091 0.965665236051502 0.951357986803744 0.967593303639994 0.98129408157007 0.95048290663805 0.967444717444717 0.969529085872576 1.00015386982613 1.04518905625576 1.04454685099846 1.04294478527607 1.0260336906585 1.02729224164367 1.01133925835121 1.0426249616682 1.01226993865031 0.981444563717221 0.981896287204664 0.96551724137931 0.966405890473999 0.951650038372985 0.952673632452366 0.905880546599109 0.907413103660412 0.909791827293755 0.94019728729963 0.938317181972004 0.939473278915755 0.906855210574854 0.89011663597299 0.890389929382868 0.861141011840689 0.861273454321747 0.845373501383338 0.846153846153846 0.845373501383338
"a m  " 0.793650793650794 0.794000882223202 0.797047970479705 0.796930342384888 0.797754468902349 0.783675883483661 0.812887969258055 0.813729841692558 0.814935546006816 0.801781737193764 0.80166270783848 0.802496656263932 0.805609428614053 0.791162860128377 0.779259703281882 0.764503073002548 0.780429236079844 0.777977259126272 0.778326597814698 0.765535875112579 0.75052536775743 0.751427712654043 0.737285585314475 0.752558699578567 0.765535875112579 0.796393688955672 0.779026217228464 0.78113264233138 0.785973397823458 0.786924939467312 0.772493183883672 0.774722770773204 0.776846915460777 0.775193798449612 0.775311644876862 0.775311644876862 0.776137574189621 0.746723559890277 0.791596894504491 0.764409111756612 0.780532598714417 0.796812749003984 0.780413159908187 0.7502679528403 0.737213945630471 0.737100737100737 0.734956361966008 0.720306513409962 0.704980842911877 0.688599846977812 0.688494492044064 0.672268907563025 0.657894736842105 0.672268907563025 0.656488549618321 0.640243902439024 0.641809290953545 0.65719089102858 0.641221374045801 0.640830027464144 0.64034151547492 0.655188176138961 0.655887736424649 0.639853747714808 0.640146319158665 0.687022900763359 0.672063540552925 0.642005502904311 0.627199020957626 0.628545147938065 0.629027308990488 0.613779346324996 0.583448487640104 0.567571713452984 0.56792018419033 0.597152044097382 0.611620795107034 0.61152728940529 0.611246943765281 0.61143381228982 0.61152728940529 0.612838976558909 0.597152044097382 0.596695226438189 0.628641521005826 0.644369438478061 0.6591048436542 0.659812797299371 0.660420826293964 0.643974241030359 0.643875517399969 0.614250614250614 0.615574022776239 0.600092321895676 0.599446664617276 0.599078341013825 0.613496932515337 0.612557427258805 0.597976080956762 0.597609561752988 0.582643360932229 0.582822085889571 0.5827327097071 0.567658791040196 0.567049808429119 0.582911489492253 0.552570990023024 0.553165334972342 0.552740672501152 0.55367579206398 0.555127216653816 0.554870530209618 0.55376095985233 0.554443246573233 0.55333538272364 0.552486187845304 0.568007368744243 0.599723204674765 0.599815441402645 0.614817091915155 0.615384615384615 0.614817091915155
"i t  " 0.220458553791887 0.220555800617556 0.22140221402214 0.221369539551358 0.236371694489585 0.26615407363596 0.28081584392551 0.295901760615476 0.296340198547933 0.311804008908686 0.311757719714964 0.341804131371675 0.343129941817097 0.343334826093447 0.344672561066986 0.344775895667816 0.345189854419931 0.359066427289048 0.374195479718605 0.375262683878715 0.390273191233864 0.390742410580102 0.391212759554619 0.406381697772426 0.405283698589012 0.405709992486852 0.404494382022472 0.420609884332282 0.438331318016929 0.453995157384988 0.454407755225689 0.455719276925414 0.456968773800457 0.471196230430157 0.456065673456978 0.456065673456978 0.456551514229189 0.457177689728741 0.456690516060283 0.458645467053967 0.459136822773186 0.459699662886914 0.443764345830145 0.474659317103047 0.476117339886346 0.491400491400491 0.489970907977339 0.490421455938697 0.490421455938697 0.489671002295333 0.489596083231334 0.488922841864018 0.489596083231334 0.488922841864018 0.50381679389313 0.503048780487805 0.504278728606357 0.504355800091701 0.50381679389313 0.503509307293256 0.50312547644458 0.50281883285083 0.503355704697987 0.502742230347349 0.487730528882792 0.488549618320611 0.488773484038491 0.489147049831856 0.489521187088879 0.521232561704737 0.506290273089905 0.506367960718122 0.506678949792722 0.506212609295904 0.506523407521105 0.505282498851631 0.504587155963303 0.519798195994496 0.504278728606357 0.504432895139101 0.489221831524232 0.474950206833155 0.474659317103047 0.474296205630355 0.475314320760503 0.490948143602332 0.490496627835684 0.491023477059997 0.476117339886346 0.475314320760503 0.459911083857121 0.414619164619165 0.415512465373961 0.41544853054316 0.41500153704273 0.414746543778802 0.429447852760736 0.428790199081164 0.429316160686906 0.429053018694453 0.429316160686906 0.460122699386503 0.460052139242447 0.460263884627186 0.444444444444444 0.444853505138825 0.44512663085188 0.44560540872772 0.445263319514817 0.446016610273762 0.447185813415574 0.431565967940814 0.430702968774035 0.431233636223625 0.430371964340609 0.429711479435236 0.429843414184833 0.415192987851761 0.399876960935097 0.399631109744851 0.384615384615385 0.384260682446972
"  d e" 0.587889476778366 0.617556241729157 0.619926199261993 0.605076741440378 0.62047569803516 0.621026171817241 0.620750812887969 0.621393697292499 0.607497407023263 0.623608017817372 0.638361045130641 0.639025115173131 0.671341190511711 0.671742051052396 0.65937359508467 0.659571278668865 0.675371454299865 0.673249551166966 0.673551863493489 0.675472830981687 0.660462323626539 0.676284941388638 0.662052362323202 0.662251655629139 0.64545181627139 0.616078136739294 0.569288389513109 0.57082770016524 0.60459492140266 0.605326876513317 0.605877006967586 0.607625702567219 0.609291698400609 0.623195014439884 0.623289753724536 0.638491942839769 0.639172119920864 0.655288021944529 0.654589739686406 0.657391836110686 0.642791551882461 0.643579528041679 0.642693190512624 0.612463634971674 0.629703578559361 0.598894348894349 0.597152044097382 0.597701149425287 0.597701149425287 0.612088752869166 0.627294981640147 0.626432391138274 0.611995104039168 0.611153552330023 0.641221374045801 0.640243902439024 0.657090464547677 0.687757909215956 0.687022900763359 0.701861458651205 0.6860801951517 0.7008989791254 0.686394142769982 0.685557586837294 0.685871056241427 0.67175572519084 0.656789369176722 0.672577193518802 0.673091632247208 0.674536256323777 0.675053697453207 0.675157280957496 0.675571933056963 0.659610369688603 0.660015349194167 0.643086816720257 0.642201834862385 0.642103653875554 0.641809290953545 0.642005502904311 0.626815471640422 0.628159950972882 0.627775225845965 0.627294981640147 0.628641521005826 0.629027308990488 0.62844880441447 0.629123829983121 0.645062202426663 0.689972401103956 0.72052736470949 0.752457002457002 0.769467528470299 0.800123095860902 0.799262219489702 0.798771121351767 0.797546012269939 0.811638591117917 0.827966881324747 0.827459393196445 0.827966881324747 0.812883435582822 0.797423708020242 0.797790733353789 0.781609195402299 0.782328578002761 0.782808902532617 0.799016594960049 0.813757101182251 0.815133804983082 0.801850424055513 0.801479654747226 0.784494693124135 0.800862467272447 0.799262219489702 0.78268876611418 0.767577525330058 0.753498385360603 0.73823438941864 0.753150937596065 0.753846153846154 0.737780510298186
